_;id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
2;3176;Fabulous Flat in great Location;3718;Britta;Pankow;Prenzlauer Berg Südwest;52.53499619158672;13.417578665333297;Entire home/apt;90;62;143;20/03/2017;1.25;1;220
5;9991;Geourgeous flat - outstanding views;33852;Philipp;Pankow;Prenzlauer Berg Südwest;52.533030768026826;13.416046823956403;Entire home/apt;180;6;6;23/07/2018;0.15;1;137
6;14325;Apartment in Prenzlauer Berg;55531;Chris + Oliver;Pankow;Prenzlauer Berg Nordwest;52.54784640799216;13.405562243722455;Entire home/apt;70;90;23;01/11/2018;0.23;3;129
7;16401;APARTMENT TO RENT;59666;Melanie;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51051399601544;13.457850238106197;Private room;120;30;0;;;1;365
8;16644;In the Heart of Berlin - Kreuzberg;64696;Rene;Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.50479227385915;13.435101853886051;Entire home/apt;90;60;48;14/12/2017;0.47;2;159
11;20858;Designer Loft in Berlin Mitte;71331;Marc;Pankow;Prenzlauer Berg Südwest;52.53695243192395;13.407615032621536;Entire home/apt;129;3;56;20/10/2018;0.75;1;166
12;21869;Studio in the Heart of Kreuzberg;64696;Rene;Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.50273333406941;13.434619857852764;Entire home/apt;70;60;60;05/06/2016;0.61;2;129
13;22415;Stylishly furnished 3 room flat;86068;Kiki;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.49485061986592;13.428500598140367;Entire home/apt;98;3;61;01/10/2018;0.59;2;257
14;22677;Prenzel garden with leafy terrace;87357;Ramfis;Mitte;Brunnenstr. Süd;52.53434836322021;13.405576517191426;Entire home/apt;160;3;223;05/11/2018;2.27;1;228
16;24569;Sunny & Wheelchair accessible;99662;Dominik;Pankow;Prenzlauer Berg Südwest;52.53079085230837;13.41808443901994;Entire home/apt;90;3;18;25/08/2018;0.18;2;3
17;25653;Sunny & stylish 150 sqm apartment;99662;Dominik;Pankow;Prenzlauer Berg Süd;52.530258736282434;13.419466962263806;Entire home/apt;90;4;5;14/08/2016;0.05;2;15
18;26543;Helmholtzplatz Bright&Spacious Apt.;112675;Terri;Pankow;Helmholtzplatz;52.54406239119687;13.421376521988275;Entire home/apt;197;3;163;05/11/2018;1.63;1;336
19;28156;Beautiful apartment in Prenzlauer Berg;55531;Chris + Oliver;Pankow;Prenzlauer Berg Nordwest;52.54671936814942;13.405117021304424;Entire home/apt;70;90;28;29/04/2017;0.29;3;191
20;28268;Cozy Berlin Friedrichshain for1/6 p;121580;Elena;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51338523184102;13.469947507779649;Entire home/apt;90;5;30;02/08/2017;0.33;1;55
22;29279;Quiet 2 rooms next Helmholtzplatz;54283;Marine;Pankow;Helmholtzplatz;52.54178764990126;13.42388315889975;Entire home/apt;130;60;69;31/07/2018;0.7;3;221
23;30295;PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG;485838;Michele;Pankow;Helmholtzplatz;52.54596726018988;13.422358872353616;Entire home/apt;100;4;240;31/10/2018;2.42;4;296
31;38074;3 months min stay in the heart of Prenzlauer Berg!;163384;Alan & Kasia;Pankow;Prenzlauer Berg Süd;52.53680114276391;13.42546637252866;Entire home/apt;80;84;102;21/07/2018;1.03;10;221
32;38296;nice apartment to rent in Neukölln in September!;164310;Oliver;Neukölln;Schillerpromenade;52.4858626082932;13.423619080920696;Entire home/apt;80;10;6;27/07/2012;0.06;1;310
37;42809;The Berlin Artist Apartment.;186851;Tina;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51175980499;13.45536167972428;Entire home/apt;119;4;109;04/11/2018;1.14;1;285
38;43123;Lux Berlin 1: boutique & design;188116;Lena;Pankow;Prenzlauer Berg Südwest;52.53946252929092;13.408834096612916;Entire home/apt;90;5;65;31/10/2018;0.66;2;186
43;47938;Lovely 2 BR flat in Prenzlauer Berg;218479;Laura;Pankow;Prenzlauer Berg Südwest;52.53219075931284;13.419875245322093;Entire home/apt;160;3;35;29/09/2018;0.35;1;32
44;48955;Cozy studio in the heart of Berlin;211722;Anne;Pankow;Prenzlauer Berg Südwest;52.53626706277856;13.420812783549412;Entire home/apt;70;4;0;;;1;129
45;52734;LUMINOUS, LOFT LIKE APT IN F'HAIN;112446;Boris;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.511208807057926;13.457278071959973;Entire home/apt;88;5;5;21/10/2016;0.07;1;0
47;55298;Couch in Livingroom available;261030;Edna;Tempelhof - Schöneberg;Schöneberg-Nord;52.49837930103912;13.34181568690064;Shared room;88;2;0;;;1;365
48;55455;Panorama Apartment Berlin Centre;261953;Clara;Mitte;Alexanderplatz;52.521145362296046;13.40608326685905;Entire home/apt;90;2;1;26/01/2011;0.01;1;67
50;57049;130 sqm with a view on Mauer Park;54283;Marine;Pankow;Prenzlauer Berg Nordwest;52.54786783506768;13.40416737243234;Entire home/apt;200;3;81;16/10/2018;0.84;3;68
51;57209;Top apartment in Mitte-Arkonaplatz;272286;Vilius;Mitte;Brunnenstr. Süd;52.53683096273127;13.398966507950536;Entire home/apt;80;3;160;03/11/2018;1.68;1;264
54;58780;light quiet beautiful 4 room flat;281614;Katja;Pankow;Prenzlauer Berg Süd;52.53420466657788;13.426711669188906;Entire home/apt;130;5;32;04/11/2018;0.37;2;211
55;59249;Lux Berlin 2: luxury & design;188116;Lena;Pankow;Prenzlauer Berg Südwest;52.54088868001604;13.409448814157397;Entire home/apt;90;5;76;25/10/2018;0.85;2;149
56;60161;House at the water;898681;Michael;Treptow - Köpenick;Schmöckwitz/Karolinenhof/Rauchfangswerder;52.3782796904114;13.652751149230712;Entire home/apt;120;2;7;04/11/2018;0.13;4;86
60;64590;Great apt. directly on the canal!;315681;Mirjam;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.494970325600654;13.423991494661834;Entire home/apt;102;2;34;31/05/2018;0.39;1;0
62;68448;Spacious & quiet apt near Mauerpark;163384;Alan & Kasia;Pankow;Prenzlauer Berg Nord;52.549798103307225;13.415959608867745;Entire home/apt;84;3;220;21/10/2018;2.43;10;315
63;72079;Italian Design at Kudamm ,WiFi DSL free;261488;P. Charlotte;Charlottenburg-Wilm.;Kantstraße;52.50780325949872;13.318707261044278;Entire home/apt;80;3;37;14/10/2018;0.55;2;349
64;73302;Penthouse-Loft  Berlin-Schöneberg;382638;Hardy;Tempelhof - Schöneberg;Schöneberg-Nord;52.50105434389543;13.350320889902523;Entire home/apt;69;3;200;29/10/2018;2.14;1;178
65;74614;City apartment in Prenzlauer Berg;393047;Fatena;Pankow;Prenzlauer Berg Südwest;52.5376951267311;13.408535523373189;Entire home/apt;185;4;59;14/10/2018;0.76;1;359
67;81049;Lux.2BR Apart.BerlinMitte Lic. 01/Z/ZA/ (Phone number hidden by Airbnb);249501;Elfie And  Paul;Mitte;Regierungsviertel;52.52183917807321;13.390672160465307;Entire home/apt;155;4;39;06/11/2018;0.43;1;286
69;82893;Apartment 2 Mitte;451311;Ruth;Mitte;Brunnenstr. Süd;52.531999624503065;13.382847513861474;Entire home/apt;70;3;71;14/10/2018;0.8;3;225
71;83568;Beautiful stylish Prenzlauer Berg rooftop apt.;455670;Olaf;Pankow;Helmholtzplatz;52.54484866792699;13.418909904797257;Entire home/apt;70;3;2;22/10/2018;1.54;1;139
72;83614;Spacious & Elegant Flat, 2 bathrooms, full kitchen;456085;Louis;Pankow;Helmholtzplatz;52.54621993958731;13.417857494605345;Entire home/apt;92;1;265;30/10/2018;2.86;2;323
73;85560;Apartment 1 in Berlin;451311;Ruth;Mitte;Brunnenstr. Süd;52.53181501425351;13.382298973709077;Entire home/apt;75;3;47;23/10/2018;1.09;3;328
74;86514;Sunny room, Kreuzberg;464827;Hayley;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.49820825407495;13.441778788008364;Private room;80;2;44;23/06/2017;0.48;1;365
76;89102;Bright loft in the Kastanienallee;485838;Michele;Pankow;Prenzlauer Berg Südwest;52.54052905754406;13.409949597839896;Entire home/apt;114;10;57;01/11/2018;0.63;4;109
78;102882;STORAGE APARTMENT URBAN;86173;Sebastian;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52.48878301318277;13.421956318303518;Entire home/apt;506;3;112;16/04/2017;1.24;2;0
80;106331;Beautiful flat in Prenzlauer Berg;551159;Lauri;Pankow;Prenzlauer Berg Süd;52.53370314819088;13.436699040185667;Entire home/apt;82;60;91;20/10/2018;1.0;2;319
81;107968;Gästeapartment Berlin- Schöneberg;558933;Frank;Tempelhof - Schöneberg;Schöneberg-Nord;52.49854776932377;13.3429405032624;Entire home/apt;80;3;59;03/10/2018;0.66;1;363
83;111579;IN THE CENTER OF BERLIN.....;570951;S. Kjel;Mitte;Alexanderplatz;52.52720111795706;13.4095282119564;Entire home/apt;70;4;114;05/06/2016;1.33;2;194
84;114763;In the heart of Berlin!;582007;Julia;Tempelhof - Schöneberg;Schöneberg-Süd;52.48805003364805;13.353250379710676;Entire home/apt;130;3;53;01/10/2018;0.74;1;140
85;115576;Bed and Garden;584750;Axel;Pankow;Blankenfelde/Niederschönhausen;52.58150268997834;13.3978581755756;Entire home/apt;69;2;3;23/06/2018;0.05;1;344
86;116832;Clean & Spacious Kreuzberg Apt;590130;Oliver;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52.49094420157708;13.396194429695148;Entire home/apt;75;14;3;01/08/2015;0.06;1;310
87;117649;F43 - your base for Berlin;594164;Ralph&Maria;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.50004365663805;13.442648963468386;Entire home/apt;68;60;84;15/08/2017;0.93;1;266
88;121888;private, calm but very central;611847;Michel;Friedrichshain-Kreuzberg;Frankfurter Allee Nord;52.518177197329855;13.463995796385912;Entire home/apt;125;7;5;17/07/2016;0.06;1;0
89;125349;Cottage Berlin-Friedrichshagen;623521;Andre;Treptow - Köpenick;Friedrichshagen;52.45105230030462;13.635283164937055;Entire home/apt;70;2;26;18/10/2018;0.49;1;340
90;127708;Design Jewel in the midst of MITTE!;632174;Stéphanie;Mitte;Alexanderplatz;52.51964880397617;13.410989725180972;Entire home/apt;89;2;443;23/10/2018;5.2;5;295
92;135097;Nähe KaDeWe & Kurfürstendamm;662534;Bernd;Tempelhof - Schöneberg;Schöneberg-Nord;52.50089197267288;13.34691847873334;Entire home/apt;96;1;148;21/10/2018;1.67;1;202
93;138955;Guest Apartment near Viktoriapark;677988;Pigi;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52.49097476368088;13.376910146481142;Entire home/apt;75;2;191;29/05/2016;2.13;1;0
96;145249;Private Wing of Penthouse - Terrace;703493;Evelyna;Friedrichshain-Kreuzberg;Frankfurter Allee Nord;52.51819219317533;13.461220877937736;Private room;70;3;107;12/10/2018;1.41;1;50
99;151249;Quiet, Terrasse, cats, baby equiped;728298;Julia;Friedrichshain-Kreuzberg;Südliche Friedrichstadt;52.49677893596029;13.416794504313168;Entire home/apt;81;1;10;16/09/2018;0.26;1;342
101;155048;Great 76 qm apartment, 2 balconies;745571;Uli;Pankow;Prenzlauer Berg Nord;52.54250548510002;13.437193263101436;Entire home/apt;100;180;4;14/11/2011;0.04;1;282
103;157546;Facing the canal, Paul Lincke Ufer;311245;François;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.49544917093305;13.424493405497936;Entire home/apt;88;5;45;06/10/2018;0.53;1;291
105;158890;Loft Appartment in Berlin Kreuzberg;762526;Stefan;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.499034503611085;13.436536845747812;Entire home/apt;100;10;3;09/06/2016;0.08;1;325
106;159454;Bright, Charming and Modern Altbau;499725;Prasad;Charlottenburg-Wilm.;Wiesbadener Straße;52.47831221692291;13.311401944589958;Entire home/apt;161;2;43;30/10/2018;0.57;1;222
108;161425;Cozy Apartment Gauystraße near Schönhauser Allee;772420;Niko;Pankow;Helmholtzplatz;52.54566761341074;13.414469175064474;Entire home/apt;70;2;103;21/09/2018;1.36;1;42
110;163411;Ample parkside apartment Kreuzberg;779213;Jutta;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.49737973107708;13.436374924087726;Entire home/apt;80;5;12;18/08/2018;0.14;1;253
118;171746;Lovely oasis in heart of Prenzlberg;819384;Eva-Marion;Pankow;Helmholtzplatz;52.54410590255336;13.41409916284289;Entire home/apt;70;4;84;30/10/2018;1.73;1;320
119;173153;Beautiful flat 95m² in Berlin Mitte;826546;Wolfgang;Pankow;Prenzlauer Berg Südwest;52.530548509650565;13.407016713355516;Entire home/apt;80;2;33;30/10/2017;0.38;1;0
121;174547;Berlin City Apartment 1with WiFi;833995;Ilona;Mitte;Alexanderplatz;52.51100177386567;13.415950719937944;Entire home/apt;96;60;31;02/10/2016;0.37;4;0
122;174560;2 apartment in Berlin Center, WiFi;833995;Ilona;Mitte;Alexanderplatz;52.51072774657479;13.417906085619384;Entire home/apt;75;60;56;01/10/2016;0.71;4;280
123;174576;Berlin City Suite 3 mit W-Lan;833995;Ilona;Mitte;Alexanderplatz;52.50939926752596;13.416228803622197;Entire home/apt;96;60;41;02/10/2016;0.5;4;364
124;174579;Berlin City Studio 4 mit W-Lan;833995;Ilona;Mitte;Alexanderplatz;52.50905485517384;13.41556268538749;Entire home/apt;76;60;81;23/09/2016;0.98;4;0
126;176342;Landmark/Checkpoint Charlie/120m2/2BATH/3BR/NEW;843326;Nino;Friedrichshain-Kreuzberg;Südliche Friedrichstadt;52.50363148256159;13.39201042090914;Entire home/apt;296;1;18;28/10/2018;0.31;3;331
127;176355;Landmark/Checkpoint Charlie/110m2/2BATH/2BR/new;843326;Nino;Friedrichshain-Kreuzberg;Südliche Friedrichstadt;52.501475919528886;13.39110689609045;Entire home/apt;244;1;17;02/10/2018;0.2;3;333
131;178347;Design Apartment Berlin Neukölln;853446;Florian;Neukölln;Reuterstraße;52.488654169282775;13.428955718077146;Entire home/apt;75;2;71;17/04/2016;0.83;1;243
132;179102;registered, legal hughe penthouse for 1-2 families;857327;Alke;Pankow;Pankow Zentrum;52.5686812824015;13.399690953780912;Entire home/apt;170;2;118;24/10/2018;1.42;1;244
137;183988;Luxury Ku'damm Studio +  Bikes 4you;882801;Jennifer;Charlottenburg-Wilm.;Neue Kantstraße;52.50102762775477;13.302697494915236;Entire home/apt;100;2;350;27/10/2018;4.21;1;272
138;183996;LargeTopFloor,2Terraces,Prenzl'Berg;882841;Johannes;Pankow;Helmholtzplatz;52.54362828315854;13.418535807902389;Entire home/apt;375;2;36;04/11/2018;0.86;3;224
142;186999;House on Water;898681;Michael;Treptow - Köpenick;Schmöckwitz/Karolinenhof/Rauchfangswerder;52.37886768122416;13.651231409727057;Entire home/apt;120;3;7;25/03/2018;0.13;4;86
145;188565;Lovely Sailingboat close to Berlin- Mitte;908562;Anis;Reinickendorf;West 1;52.575025646606406;13.263064943953482;Entire home/apt;86;1;4;19/09/2018;0.17;4;87
147;189288;Townhouse Altenescher Weg;907038;Katarina-Susanne;Pankow;Prenzlauer Berg Ost;52.538143284261295;13.455527819831657;Entire home/apt;100;3;63;19/10/2018;0.79;2;325
148;189596;Mitte Miniloft apartment w. terrace;914711;Jon;Mitte;Brunnenstr. Süd;52.53046410409004;13.398893490862635;Entire home/apt;80;4;79;06/05/2016;0.9;1;0
152;192052;studio apartment in mitte (N° 1);929943;Reineldis & Fabian;Mitte;Brunnenstr. Süd;52.52940390732017;13.39327420282074;Entire home/apt;79;2;212;30/04/2018;2.44;3;6
153;192103;studio apartment in mitte (N° 2);929943;Reineldis & Fabian;Mitte;Brunnenstr. Süd;52.52957871113231;13.391711340752158;Entire home/apt;75;2;253;19/06/2018;2.94;3;0
157;194465;Beautiful Loft-Studio with garden;944530;Christian And Verónica;Friedrichshain-Kreuzberg;Karl-Marx-Allee-Nord;52.520442263765545;13.444983885777429;Private room;75;3;132;04/11/2018;1.54;1;301
158;194546;Central modern 2-room flat in Mitte;944961;Veli;Mitte;Alexanderplatz;52.50604469012276;13.417929178855122;Entire home/apt;75;4;90;24/10/2018;1.12;2;62
160;195467;Obere Etage im Haus.;889228;Jacqueline;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.49420770930038;13.468728177198354;Private room;89;2;6;20/05/2018;0.28;1;338
161;196149;Best location in Berlin-Mitte /WIFI;954669;Martin;Mitte;Brunnenstr. Süd;52.53092443537318;13.403572311247895;Entire home/apt;74;2;301;29/10/2018;4.48;1;66
163;197291;App. w garden, firepl. a. whirlpool;1311026;Volker;Pankow;Blankenburg/Heinersdorf/Märchenland;52.58088569648626;13.443772840039305;Entire home/apt;120;1;27;30/09/2018;0.31;1;352
166;200125;TOP apartment in art nouveau villa;977942;Rainer;Steglitz - Zehlendorf;Zehlendorf  Nord;52.437369993196064;13.22265649355244;Entire home/apt;89;4;0;;;1;55
167;201224;very charming central apartment....;984036;Rene;Mitte;Tiergarten Süd;52.504484788621085;13.35903344819543;Entire home/apt;88;3;189;21/10/2018;2.31;1;133
168;203634;Outstanding penthouse in Prenz Berg;998898;Dimitry;Pankow;Helmholtzplatz;52.54301025680194;13.415250690082251;Entire home/apt;125;4;110;02/10/2018;1.29;1;97
171;205296;4* apartment in quiet south Berlin;1009105;Gisela;Neukölln;Rudow;52.41234995666815;13.500314073056284;Entire home/apt;100;5;0;;;1;282
173;206454;Hot Spot Berlin-Mitte apartment!;358915;Diana;Mitte;Brunnenstr. Süd;52.53202563222981;13.40097022182888;Entire home/apt;70;3;22;12/10/2018;0.28;1;15
174;207740;Schicke Garten-Maisonette in Kreuzberg;1022663;Vanessa;Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.500417014749296;13.435778838381852;Entire home/apt;195;3;7;01/11/2018;0.46;1;0
175;208495;CENTRAL VINTAGE-MODERN FLAT;965569;Coco;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51274964636898;13.463579217360603;Entire home/apt;150;2;0;;;1;0
176;209649;Berlin Center – Charlottenburg Wilmersdorf;1033300;Thomas;Charlottenburg-Wilm.;Kantstraße;52.51079405546008;13.302161703740412;Private room;200;7;31;31/10/2018;0.35;1;323
177;210734;VERY CENTRAL AND COSY;1039350;Gosia;Mitte;Moabit West;52.5229757133339;13.33415700339061;Entire home/apt;165;3;245;02/11/2018;2.82;1;295
185;221015;clean calm cosy central apartment;1146238;Arzu & Tom;Mitte;Wedding Zentrum;52.54062967749624;13.351473944161675;Entire home/apt;75;1;413;03/11/2018;4.78;2;107
186;222784;Queit-central-balcony-WiFi, lease - min 2 months;1156924;Kelly;Mitte;Moabit West;52.529803443196;13.340366691280757;Entire home/apt;69;60;195;31/08/2018;2.32;1;339
189;227072;Cosy and huge family place, 1184sf;1093451;Julia;Mitte;Brunnenstr. Süd;52.53601083929215;13.405435238730051;Entire home/apt;110;5;29;22/09/2018;0.34;1;3
190;228964;super Wohnung MITTEndrin!;1195025;Behnam;Mitte;Alexanderplatz;52.52437689318986;13.407359613120262;Private room;95;1;19;09/10/2018;0.5;2;355
191;229075;Sun-drenched three-room-apartment;1195776;Cornelia Und Claudia;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.49435563389957;13.429129386130754;Entire home/apt;75;14;41;03/10/2018;0.48;1;136
201;233083;2-bed-loft-dwelling designers flat;1219893;Katharina;Charlottenburg-Wilm.;Neue Kantstraße;52.50397219242038;13.295973011618043;Entire home/apt;98;60;36;11/08/2018;0.43;1;211
205;236509;Berlin City Center, Great Vista;1240004;Georg;Mitte;Alexanderplatz;52.51578831180304;13.41854931265548;Entire home/apt;82;90;39;08/06/2018;0.45;2;244
210;238275;Baroqueapartment with loftcharacter;1249583;Alexander;Mitte;Alexanderplatz;52.52465725000481;13.403457842597032;Entire home/apt;85;8;7;30/12/2016;0.09;1;307
218;242794;Elegant renovated apartment 72 m2;1274606;Mario;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51487095989102;13.45561448958188;Entire home/apt;100;4;42;29/09/2018;0.53;1;274
219;242908;Holiday Apartment in Berlin Wannsee with balcony;1275359;Henning;Steglitz - Zehlendorf;Zehlendorf  Südwest;52.41557846341741;13.164177682274188;Entire home/apt;95;5;0;;;2;304
220;242927;Holiday Rental in Berlin Wannsee with small garden;1275359;Henning;Steglitz - Zehlendorf;Zehlendorf  Südwest;52.41580605640964;13.164464301716835;Entire home/apt;95;5;1;08/05/2018;0.16;2;272
222;243057;rooftop-apartement Blueberry Hill  Berlin center;1275795;Arne & Ute;Mitte;Moabit West;52.53067177517643;13.335319849326703;Entire home/apt;175;2;24;12/10/2018;0.55;1;362
223;243063;Holiday apartment in Berlin Mitte;1275846;Anna;Mitte;Brunnenstr. Süd;52.52850021063429;13.390670051625648;Entire home/apt;130;1;179;11/10/2018;2.31;2;44
224;243081;Living with style, apartment 2;1275846;Anna;Mitte;Brunnenstr. Süd;52.52930033581392;13.39084305411708;Entire home/apt;120;1;150;12/10/2018;1.9;2;81
228;245744;Apartment in central Berlin;1289259;Martina;Mitte;Regierungsviertel;52.52198360873712;13.390592110573774;Entire home/apt;150;3;104;09/10/2018;1.27;1;302
229;245809;2-bedroom apartment Prenzlauer Berg;1289393;Hille;Pankow;Prenzlauer Berg Nord;52.54401213473802;13.43987378457797;Entire home/apt;76;2;32;20/10/2018;0.42;2;311
230;245827;2-bedroom apartment Gendarmenmarkt;1289393;Hille;Mitte;Regierungsviertel;52.511546822569706;13.400528244169935;Entire home/apt;79;2;67;08/10/2018;0.92;2;291
236;249419;Studio to feel good Prenzlauerberg!;1306624;Au;Pankow;Helmholtzplatz;52.54300023226586;13.424867612774582;Entire home/apt;91;3;148;16/10/2018;1.78;1;311
237;250007;Exotic holiday apartment in Berlin;1310272;Jörg Und Sara;Tempelhof - Schöneberg;Schöneberg-Nord;52.4948746989508;13.35171087023955;Entire home/apt;69;2;114;07/10/2018;1.49;1;211
238;250023;Family- Apartment am KaDeWe 2;1310277;Claudia;Charlottenburg-Wilm.;Düsseldorfer Straße;52.49771085347568;13.336256129147833;Entire home/apt;70;90;44;23/09/2018;0.56;1;270
243;250253;Apartment: Luise in Berlin;1311309;Ute;Charlottenburg-Wilm.;Otto-Suhr-Allee;52.51874220456371;13.30645992534407;Entire home/apt;93;3;14;07/09/2018;0.26;4;236
244;250376;142 m² = 1530 ft² ♥LOFT♥ROOMS in Friedrichshain;1312190;Davide;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.512132273142285;13.452285824669955;Private room;175;2;94;02/08/2018;1.13;2;158
245;250684;Lovely four bedroom;1310755;Joe;Pankow;Prenzlauer Berg Südwest;52.52997409417848;13.407796644730958;Private room;95;3;14;14/10/2018;0.18;4;319
249;250729;Apartment: Grazer Gärten in Berlin;1311309;Ute;Tempelhof - Schöneberg;Friedenau;52.46903798906477;13.347680742264842;Entire home/apt;72;3;1;06/03/2017;0.05;4;283
250;250753;Apartment: Großer Kurfürst;1311309;Ute;Mitte;Tiergarten Süd;52.50026036393858;13.364660230943686;Entire home/apt;95;3;7;23/10/2018;0.65;4;211
253;252664;COZY ROOFTOP APARTM.| QUIET&CENTRAL;1326442;Berliner;Mitte;Brunnenstr. Nord;52.53935111354191;13.391105203549234;Entire home/apt;79;2;51;14/10/2018;0.6;1;308
260;254576;Chalet at Kurfürstendamm citycenter;1337197;Angelika;Charlottenburg-Wilm.;Neue Kantstraße;52.50279670290972;13.303741341396725;Entire home/apt;70;91;6;27/08/2018;0.13;1;190
261;254762;Cosy StudioFlat in trendy Kreuzberg;1171000;Bernardo;Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.503229927028094;13.43322133745332;Entire home/apt;80;93;95;22/07/2018;1.11;3;97
262;254788;Cosy Flat in Kreuzberg 36!;1171000;Bernardo;Friedrichshain-Kreuzberg;Südliche Friedrichstadt;52.49767581546101;13.413139592353671;Entire home/apt;75;93;99;25/04/2016;1.2;3;305
265;255778;Beautiful apt. in a great location;1344754;Bwk;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.497011137976266;13.443700466582648;Entire home/apt;96;2;142;14/10/2018;2.83;1;244
269;257373;Sunny boutique studio Prenzl. Berg;1303212;David;Pankow;Prenzlauer Berg Südwest;52.53860501381979;13.41677855825432;Entire home/apt;99;2;113;22/09/2018;1.37;1;91
271;257766;100 qm Penthouse-Loft Berlin-Mitte;689674;Lisa;Mitte;Regierungsviertel;52.51908273643324;13.396146868704934;Entire home/apt;148;5;66;18/10/2018;0.78;1;124
273;260104;Living on the Water;1365126;Josef;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.49244116701172;13.470726379888053;Entire home/apt;69;5;9;24/09/2016;0.17;1;48
274;260365;Old apartment near Winterfeldplatz;1366128;Sophia;Tempelhof - Schöneberg;Schöneberg-Nord;52.49926429361992;13.339908792493455;Entire home/apt;69;4;0;;;1;354
281;265286;Berlin Island;1391545;Eva-Maria;Reinickendorf;West 5;52.56169818238264;13.235842990347138;Entire home/apt;75;5;1;01/08/2015;0.03;2;364
292;266086;Private Ferienwohnung in Berlin;1395425;Hansjörg;Treptow - Köpenick;Baumschulenweg;52.45116974185575;13.487888325269331;Entire home/apt;85;3;5;04/09/2018;0.1;1;243
295;267764;Berlin Mitte luxury;1382226;P. Oliver;Mitte;Brunnenstr. Süd;52.53785375113726;13.398178364623291;Entire home/apt;129;2;89;03/08/2018;1.11;1;0
296;267951;Modernes Apartment in Berlin P'berg;1404760;Frank;Pankow;Helmholtzplatz;52.54416463972552;13.420263142341197;Entire home/apt;69;2;42;01/11/2018;0.74;1;94
301;270477;QUIET GARDEN APT(child friendly);540534;Doris;Pankow;Helmholtzplatz;52.54335558388168;13.41735605912263;Entire home/apt;89;3;166;19/10/2018;1.98;1;316
302;271340;Central & Homelike Apartment;1420077;Kai;Mitte;Brunnenstr. Süd;52.538705489327526;13.402867184784656;Entire home/apt;70;5;58;03/09/2018;0.74;1;7
304;273011;Luxurious 2BR in prime location;1428703;Susanne;Charlottenburg-Wilm.;Halensee;52.49741203898313;13.29651397306526;Entire home/apt;125;3;64;27/10/2018;0.84;1;296
309;274686;Minimalist appartment in Kreuzberg;1436010;Jade;Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.501074165224985;13.440206514625022;Entire home/apt;80;3;23;26/07/2017;0.28;1;0
311;275472;Luxus Flat Top Roof Berlin WELCOME;1439853;Lola;Neukölln;Rixdorf;52.47818916747429;13.439621947867328;Entire home/apt;70;2;39;27/09/2018;0.51;1;338
316;279344;Happy-haven in the heart of Berlin;1456872;Dot;Mitte;Brunnenstr. Süd;52.53013306452742;13.404397811886769;Private room;76;2;42;15/10/2018;0.52;1;365
323;284390;Penthouse Central Well-lit;1480990;Kirk;Friedrichshain-Kreuzberg;Südliche Friedrichstadt;52.501185046251926;13.385787723155383;Entire home/apt;75;1;3;21/02/2016;0.08;1;0
325;290410;Quiet room in a 1 bedroom apt in Kurfurstendam;1508025;Dimitrios;Charlottenburg-Wilm.;Kurfürstendamm;52.502915585207376;13.309763853695642;Private room;80;60;18;23/06/2017;0.28;1;3
326;292300;Lux 2-level apt in hip Berlin Mitte;1513460;Tobias Und Ed;Mitte;Brunnenstr. Süd;52.53074518495763;13.395547515647635;Entire home/apt;120;4;10;11/09/2014;0.14;1;0
337;305987;Lovely Apartment in Berlin Prenzlauer Berg;246890;Imme;Pankow;Prenzlauer Berg Nordwest;52.54709985062895;13.407162376310506;Entire home/apt;69;3;201;24/10/2018;2.51;1;312
