_;id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
10896;16340312;Berliner Altbau direkt am Kurfürstendamm;7908075;Miriam;Charlottenburg-Wilm.;Düsseldorfer Straße;52.497636383659234;13.307225676934952;Entire home/apt;140;2;10;19/10/2018;0.57;1;89
10897;16340532;Apartment Parkview Azure;1194258;Stefan;Mitte;Brunnenstr. Süd;52.53248939419687;13.402015260964882;Entire home/apt;90;2;54;24/10/2018;2.4;12;57
10898;16340595;Loft + 3 bedroom maisonette-apartment - in center!;87165021;Philipp;Mitte;Alexanderplatz;52.525154291938726;13.411875784725876;Entire home/apt;150;3;1;02/01/2017;0.04;1;0
10899;16340815;Sonnige 3-Zi-Wohnung in Xberg, Wasser- u Parkblick;33510092;Julia;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.49464548610492;13.445482351525776;Entire home/apt;80;9;2;23/07/2018;0.1;1;0
10901;16341199;Sunny apartment with a view;4449254;René;Neukölln;Rixdorf;52.483464280773326;13.45336799163125;Entire home/apt;90;2;3;19/08/2018;0.27;2;42
10902;16342324;A Beautiful Apartment In Boxhagener Kiez;8865537;Roni;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51162642375097;13.455494678516878;Entire home/apt;81;3;16;02/04/2018;0.7;1;0
10906;16344234;Beautiful 2-room apartment in Friedrichshain/XBerg;43104608;Aaron;Friedrichshain-Kreuzberg;Karl-Marx-Allee-Süd;52.50965932282334;13.45071787021466;Entire home/apt;200;2;27;04/11/2018;1.53;1;15
10908;16346113;Lichtdurchflutete Loftwohnung mit Aussicht;3594029;Ulli;Pankow;Weißensee;52.54871822250066;13.451520598512198;Entire home/apt;79;3;4;17/07/2018;0.21;1;0
10914;16348432;Comfy & super-central apartment with a great view!;5093255;Jakob;Pankow;Prenzlauer Berg Südwest;52.53023470960299;13.40634461970488;Entire home/apt;70;2;15;19/11/2017;0.71;2;0
10928;16377004;Beautiful Flat in the hippest Area of Neukölln;15516062;Julia;Neukölln;Reuterstraße;52.48497077236858;13.428900567398127;Entire home/apt;90;3;8;18/09/2018;0.36;1;0
